,Movie,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
171,Manyunya. Priklyucheniya v Moskve,"33,81,430",0,0,"33,81,430",100%,2024
172,Lovesick Ellie,"33,65,139",0,0,"33,65,139",100%,2024
173,Bocchi the Rock! Re:,"33,50,047",0,0,"33,50,047",100%,2024
174,Boléro,"33,35,618",0,0,"33,35,618",100%,2024
175,La petite vadrouille,"32,85,001",0,0,"32,85,001",100%,2024
176,Let's Go! Anpanman: Baikinman and Lulun,"32,79,803",0,0,"32,79,803",100%,2024
177,Gondola,"32,78,905",0,0,"32,78,905",100%,2024
178,Boy Kills World,"32,69,468","26,26,127",80.30%,"6,43,341",19.70%,2024
179,Lucky Winners,"32,56,901",0,0,"32,56,901",100%,2024
180,"Baby boom, or Eggnog 5","32,36,512",0,0,"32,36,512",100%,2024
181,The Fabulous Four,"32,11,180","28,36,571",88.30%,"3,74,609",11.70%,2024
182,The Lord of the Rings: The Two Towers 2024 Re-release,"32,04,720","25,66,412",80.10%,"6,35,532",19.80%,2024
183,2024 Oscar Nominated Short Films: Documentary,"31,62,293","31,62,293",100%,0,0,2024
184,The Good Teacher,"31,20,799",0,0,"31,20,799",100%,2024
185,Budda. Dzieciak '98,"30,85,668",0,0,"30,85,668",100%,2024
186,Loving Bali,"30,69,304",0,0,"30,69,304",100%,2024
187,The Long Game,"30,60,040","30,60,040",100%,0,0,2024
188,Tri bogatyrya. Ni dnya bez podviga,"30,44,127",0,0,"30,44,127",100%,2024
189,White Bird,"30,39,128",0,0,"30,39,128",100%,2024
190,Kensuke's Kingdom,"30,28,140",0,0,"30,28,140",100%,2024
191,Voditel-oligarkh,"29,71,712",0,0,"29,71,712",100%,2024
192,Too Old for Fairy Tales 2,"29,62,925",0,0,"29,62,925",100%,2024
193,Siccin 7,"29,47,685",0,0,"29,47,685",100%,2024
194,Jesus Thirsts: The Miracle of the Eucharist,"29,27,121","29,27,121",100%,0,0,2024
195,Buzz House: The Movie,"29,10,112",0,0,"29,10,112",100%,2024
196,We 12,"28,64,154",0,0,"28,64,154",100%,2024
197,Me Contro Te - Il film: Operazione Spie,"27,98,501",0,0,"27,98,501",100%,2024
198,Menudas piezas,"27,78,043",0,0,"27,78,043",100%,2024
199,Silent Love,"27,39,320",0,0,"27,39,320",100%,2024
